sampleid,Class
sample_241,2
sample_242,1
sample_243,1
sample_244,2
sample_245,2
sample_246,4
sample_247,3
sample_248,3
sample_249,5
sample_250,3
sample_251,1
sample_252,5
sample_253,3
sample_254,1
sample_255,4
sample_256,1
sample_257,1
sample_258,1
sample_259,3
sample_260,5
sample_261,5
sample_262,2
sample_263,5
sample_264,5
sample_265,1
sample_266,2
sample_267,3
sample_268,3
sample_269,4
sample_270,4
sample_271,3
sample_272,5
sample_273,1
sample_274,4
sample_275,1
sample_276,3
sample_277,3
sample_278,4
sample_279,3
sample_280,3
sample_281,3
sample_282,3
sample_283,2
sample_284,2
sample_285,3
sample_286,3
sample_287,3
sample_288,4
sample_289,4
sample_290,4
sample_291,4
sample_292,3
sample_293,3
sample_294,3
sample_295,4
sample_296,3
sample_297,3
sample_298,2
sample_299,1
sample_300,3
sample_301,3
sample_302,5
sample_303,2
sample_304,1
sample_305,3
sample_306,3
sample_307,3
sample_308,5
sample_309,3
sample_310,1
sample_311,3
sample_312,5
sample_313,2
sample_314,2
sample_315,1
sample_316,4
sample_317,3
sample_318,4
sample_319,4
sample_320,2
sample_321,5
sample_322,4
sample_323,3
sample_324,3
sample_325,3
sample_326,3
sample_327,4
sample_328,3
sample_329,3
sample_330,1
sample_331,3
sample_332,4
sample_333,3
sample_334,2
sample_335,1
sample_336,4
sample_337,3
sample_338,1
sample_339,5
sample_340,3
sample_341,3
sample_342,3
sample_343,2
sample_344,2
sample_345,2
sample_346,3
sample_347,3
sample_348,1
sample_349,2
sample_350,3
sample_351,4
sample_352,3
sample_353,5
sample_354,5
sample_355,2
sample_356,3
sample_357,4
sample_358,3
sample_359,3
sample_360,3
sample_361,5
sample_362,2
sample_363,5
sample_364,4
sample_365,1
sample_366,4
sample_367,3
sample_368,3
sample_369,4
sample_370,3
sample_371,5
sample_372,1
sample_373,2
sample_374,1
sample_375,3
sample_376,4
sample_377,1
sample_378,3
sample_379,5
sample_380,4
sample_381,4
sample_382,5
sample_383,5
sample_384,1
sample_385,3
sample_386,3
sample_387,5
sample_388,4
sample_389,3
sample_390,1
sample_391,3
sample_392,3
sample_393,3
sample_394,2
sample_395,2
sample_396,4
sample_397,2
sample_398,3
sample_399,4
sample_400,5
sample_401,1
sample_402,3
sample_403,2
sample_404,1
sample_405,3
sample_406,3
sample_407,3
sample_408,2
sample_409,3
sample_410,3
sample_411,1
sample_412,3
sample_413,1
sample_414,5
sample_415,3
sample_416,2
sample_417,3
sample_418,3
sample_419,2
sample_420,3
sample_421,3
sample_422,3
sample_423,4
sample_424,2
sample_425,1
sample_426,3
sample_427,1
sample_428,4
sample_429,3
sample_430,4
sample_431,5
sample_432,3
sample_433,1
sample_434,2
sample_435,4
sample_436,3
sample_437,3
sample_438,4
sample_439,3
sample_440,2
sample_441,3
sample_442,3
sample_443,1
sample_444,5
sample_445,3
sample_446,4
sample_447,2
sample_448,1
sample_449,3
sample_450,1
sample_451,3
sample_452,3
sample_453,3
sample_454,3
sample_455,4
sample_456,2
sample_457,3
sample_458,4
sample_459,3
sample_460,3
sample_461,2
sample_462,2
sample_463,4
sample_464,5
sample_465,1
sample_466,5
sample_467,3
sample_468,4
sample_469,4
sample_470,3
sample_471,1
sample_472,4
sample_473,5
sample_474,2
sample_475,2
sample_476,3
sample_477,1
sample_478,1
sample_479,3
sample_480,1
sample_481,2
sample_482,4
sample_483,1
sample_484,3
sample_485,2
sample_486,1
sample_487,2
sample_488,3
sample_489,3
sample_490,5
sample_491,2
sample_492,4
sample_493,5
sample_494,2
sample_495,3
sample_496,1
sample_497,3
sample_498,3
sample_499,1
sample_500,3
sample_501,5
sample_502,3
sample_503,5
sample_504,4
sample_505,3
sample_506,3
sample_507,2
sample_508,2
sample_509,2
sample_510,5
sample_511,4
sample_512,2
sample_513,2
sample_514,3
sample_515,3
sample_516,4
sample_517,1
sample_518,2
sample_519,1
sample_520,3
sample_521,4
sample_522,3
sample_523,4
sample_524,4
sample_525,1
sample_526,1
sample_527,2
sample_528,3
sample_529,4
sample_530,5
sample_531,5
sample_532,3
sample_533,4
sample_534,4
sample_535,3
sample_536,3
sample_537,1
sample_538,4
sample_539,5
sample_540,3
sample_541,3
sample_542,5
sample_543,2
sample_544,3
sample_545,3
sample_546,3
sample_547,4
sample_548,1
sample_549,2
sample_550,2
sample_551,3
sample_552,4
sample_553,5
sample_554,4
sample_555,4
sample_556,3
sample_557,1
sample_558,2
sample_559,4
sample_560,3
sample_561,5
sample_562,2
sample_563,2
sample_564,2
sample_565,1
sample_566,2
sample_567,4
sample_568,3
sample_569,3
sample_570,5
sample_571,1
sample_572,3
sample_573,3
sample_574,3
sample_575,4
sample_576,2
sample_577,2
sample_578,3
sample_579,1
sample_580,2
sample_581,2
sample_582,3
sample_583,4
sample_584,1
sample_585,5
sample_586,2
sample_587,1
sample_588,5
sample_589,2
sample_590,5
sample_591,4
sample_592,4
sample_593,3
sample_594,3
sample_595,4
sample_596,4
sample_597,5
sample_598,3
sample_599,2
sample_600,1
sample_601,1
sample_602,4
sample_603,3
sample_604,2
sample_605,3
sample_606,3
sample_607,5
sample_608,3
sample_609,1
sample_610,1
sample_611,3
sample_612,3
sample_613,5
sample_614,3
sample_615,4
sample_616,3
sample_617,3
sample_618,5
sample_619,3
sample_620,1
sample_621,3
sample_622,3
sample_623,4
sample_624,1
sample_625,2
sample_626,3
sample_627,3
sample_628,4
sample_629,3
sample_630,3
sample_631,3
sample_632,3
sample_633,3
sample_634,5
sample_635,2
sample_636,2
sample_637,3
sample_638,3
sample_639,3
sample_640,1
sample_641,3
sample_642,3
sample_643,4
sample_644,2
sample_645,2
sample_646,4
sample_647,4
sample_648,2
sample_649,4
sample_650,5
sample_651,3
sample_652,5
sample_653,4
sample_654,3
sample_655,3
sample_656,1
sample_657,1
sample_658,1
sample_659,2
sample_660,1
sample_661,1
sample_662,5
sample_663,3
sample_664,3
sample_665,5
sample_666,2
sample_667,4
sample_668,3
sample_669,4
sample_670,5
sample_671,3
sample_672,3
sample_673,3
sample_674,1
sample_675,2
sample_676,4
sample_677,3
sample_678,1
sample_679,4
sample_680,1
sample_681,3
sample_682,2
sample_683,4
sample_684,1
sample_685,2
sample_686,1
sample_687,1
sample_688,3
sample_689,4
sample_690,1
sample_691,2
sample_692,5
sample_693,5
sample_694,3
sample_695,3
sample_696,3
sample_697,2
sample_698,4
sample_699,4
sample_700,4
sample_701,3
sample_702,2
sample_703,4
sample_704,1
sample_705,3
sample_706,2
sample_707,1
sample_708,3
sample_709,1
sample_710,3
sample_711,4
sample_712,3
sample_713,5
sample_714,1
sample_715,1
sample_716,4
sample_717,1
sample_718,4
sample_719,3
sample_720,2
sample_721,2
sample_722,3
sample_723,3
sample_724,4
sample_725,3
sample_726,3
sample_727,3
sample_728,3
sample_729,4
sample_730,4
sample_731,1
sample_732,5
sample_733,4
sample_734,3
sample_735,3
sample_736,4
sample_737,3
sample_738,2
sample_739,3
sample_740,3
sample_741,1
sample_742,3
sample_743,1
sample_744,3
sample_745,5
sample_746,3
sample_747,3
sample_748,4
sample_749,2
sample_750,3
sample_751,3
sample_752,1
sample_753,3
sample_754,1
sample_755,5
sample_756,3
sample_757,3
sample_758,3
sample_759,2
sample_760,3
sample_761,2
sample_762,3
sample_763,2
sample_764,4
sample_765,4
sample_766,5
sample_767,5
sample_768,3
sample_769,3
sample_770,3
sample_771,2
sample_772,3
sample_773,2
sample_774,4
sample_775,3
sample_776,2
sample_777,4
sample_778,2
sample_779,2
sample_780,2
sample_781,4
sample_782,3
sample_783,1
sample_784,3
sample_785,3
sample_786,4
sample_787,3
sample_788,1
sample_789,4
sample_790,3
sample_791,3
sample_792,3
sample_793,3
sample_794,1
sample_795,2
sample_796,3
sample_797,2
sample_798,5
sample_799,1
sample_800,1
